geo_unit_code,name,geo_code,geo_level_code,parent_geo_code,is_active
ke/taita-taveta,Taita Taveta,001-036-001,constituency,001-036,true
ke/taveta,Taveta,001-036-002,constituency,001-036,true
ke/wundanyi,Wundanyi,001-036-003,constituency,001-036,true
ke/mwatate,Mwatate,001-036-004,constituency,001-036,true
ke/taita-taveta,Taita Taveta Sub-county,001-036-001-sub,sub-county,001-036,true
ke/taveta,Taveta Sub-county,001-036-002-sub,sub-county,001-036,true
ke/wundanyi,Wundanyi Sub-county,001-036-003-sub,sub-county,001-036,true
ke/mwatate,Mwatate Sub-county,001-036-004-sub,sub-county,001-036,true
ke/kwale,Kwale,001-013,county,001,true
ke/kwale-msambweni,Msambweni,001-013-001,constituency,001-013,true
ke/kwale-lungalunga,Lungalunga,001-013-002,constituency,001-013,true
ke/kwale-matuga,Matuga,001-013-003,constituency,001-013,true
ke/kwale-kinango,Kinango,001-013-004,constituency,001-013,true
ke/kwale-msambweni,Msambweni Sub-county,001-013-001-sub,sub-county,001-013,true
ke/kwale-lungalunga,Lungalunga Sub-county,001-013-002-sub,sub-county,001-013,true
ke/kwale-matuga,Matuga Sub-county,001-013-003-sub,sub-county,001-013,true
ke/kwale-kinango,Kinango Sub-county,001-013-004-sub,sub-county,001-013,true
ke/lamu,Lamu,001-019,county,001,true
ke/lamu-east,Lamu East,001-019-001,constituency,001-019,true
ke/lamu-west,Lamu West,001-019-002,constituency,001-019,true
ke/lamu-faza,Faza,001-019-003,constituency,001-019,true
ke/lamu-amu,Amu,001-019-004,constituency,001-019,true
ke/lamu-east,Lamu East Sub-county,001-019-001-sub,sub-county,001-019,true
ke/lamu-west,Lamu West Sub-county,001-019-002-sub,sub-county,001-019,true
ke/lamu-faza,Faza Sub-county,001-019-003-sub,sub-county,001-019,true
ke/lamu-amu,Amu Sub-county,001-019-004-sub,sub-county,001-019,true
ke/tana-river,Tana River,001-033,county,001,true
ke/tana-river,Garsen,001-033-001,constituency,001-033,true
ke/tana-river-galole,Galole,001-033-002,constituency,001-033,true
ke/tana-river-bura,Bura,001-033-003,constituency,001-033,true
ke/tana-river-wenje,Wenje,001-033-004,constituency,001-033,true
ke/tana-river,Garsen Sub-county,001-033-001-sub,sub-county,001-033,true
ke/tana-river-galole,Galole Sub-county,001-033-002-sub,sub-county,001-033,true
ke/tana-river-bura,Bura Sub-county,001-033-003-sub,sub-county,001-033,true
ke/tana-river-wenje,Wenje Sub-county,001-033-004-sub,sub-county,001-033,true
ke/pokot,Pokot,001-024,county,001,true
ke/pokot-central,Pokot Central,001-024-001,constituency,001-024,true
ke/pokot-north,Pokot North,001-024-002,constituency,001-024,true
ke/pokot-south,Pokot South,001-024-003,constituency,001-024,true
ke/pokot-central,Pokot Central Sub-county,001-024-001-sub,sub-county,001-024,true
ke/pokot-north,Pokot North Sub-county,001-024-002-sub,sub-county,001-024,true
ke/pokot-south,Pokot South Sub-county,001-024-003-sub,sub-county,001-024,true
ke/siaya,Siaya,001-034,county,001,true
ke/siaya-ugaro,Ugenya,001-034-001,constituency,001-034,true
ke/siaya/uganda,Ugunja,001-034-002,constituency,001-034,true
ke/siaya-alego,Alego,001-034-003,constituency,001-034,true
ke/siaya-bondo,Bondo,001-034-004,constituency,001-034,true
ke/siaya-rarieda,Rarieda,001-034-005,constituency,001-034,true
ke/siaya-gem,Gem,001-034-006,constituency,001-034,true
ke/siaya-ugaro,Ugenya Sub-county,001-034-001-sub,sub-county,001-034,true
ke/siaya/uganda,Ugunja Sub-county,001-034-002-sub,sub-county,001-034,true
ke/siaya-alego,Alego Sub-county,001-034-003-sub,sub-county,001-034,true
ke/siaya-bondo,Bondo Sub-county,001-034-004-sub,sub-county,001-034,true
ke/siaya-rarieda,Rarieda Sub-county,001-034-005-sub,sub-county,001-034,true
ke/siaya-gem,Gem Sub-county,001-034-006-sub,sub-county,001-034,true
ke/busia,Busia,001-003,county,001,true
ke/busia-teso,Teso,001-003-001,constituency,001-003,true
ke/busia-north,North,001-003-002,constituency,001-003,true
ke/busia-south,South,001-003-003,constituency,001-003,true
ke/busia-bunyala,Bunyala,001-003-004,constituency,001-003,true
ke/busia-matayos,Matayos,001-003-005,constituency,001-003,true
ke/busia-nambale,Nambale,001-003-006,constituency,001-003,true
ke/busia-samia,Samia,001-003-007,constituency,001-003,true
ke/busia-teso,Teso Sub-county,001-003-001-sub,sub-county,001-003,true
ke/busia-north,North Sub-county,001-003-002-sub,sub-county,001-003,true
ke/busia-south,South Sub-county,001-003-003-sub,sub-county,001-003,true
ke/busia-bunyala,Bunyala Sub-county,001-003-004-sub,sub-county,001-003,true
ke/busia-matayos,Matayos Sub-county,001-003-005-sub,sub-county,001-003,true
ke/busia-nambale,Nambale Sub-county,001-003-006-sub,sub-county,001-003,true
ke/busia-samia,Samia Sub-county,001-003-007-sub,sub-county,001-003,true
ke/homa-bay,Homa Bay,001-043,county,001,true
ke/homa-bay/homa-bay-town,Homa Bay Town,001-043-001,constituency,001-043,true
ke/homa-bay/rangwe,Rangwe,001-043-002,constituency,001-043,true
ke/homa-bay/karachuonyo,Karachuonyo,001-043-003,constituency,001-043,true
ke/homa-bay/mbita,Mbita,001-043-004,constituency,001-043,true
ke/homa-bay/ndhiwa,Ndhiwa,001-043-005,constituency,001-043,true
ke/homa-bay/kabondo,Kabondo,001-043-006,constituency,001-043,true
ke/homa-bay/kasipul,Kasipul,001-043-007,constituency,001-043,true
ke/homa-bay/kwanyange,Kwanyange,001-043-008,constituency,001-043,true
ke/homa-bay-town,Homa Bay Town Sub-county,001-043-001-sub,sub-county,001-043,true
ke/homa-bay-rangwe,Rangwe Sub-county,001-043-002-sub,sub-county,001-043,true
ke/homa-bay-karachuonyo,Karachuonyo Sub-county,001-043-003-sub,sub-county,001-043,true
ke/homa-bay-mbita,Mbita Sub-county,001-043-004-sub,sub-county,001-043,true
ke/homa-bay-ndhiwa,Ndhiwa Sub-county,001-043-005-sub,sub-county,001-043,true
ke/homa-bay-kabondo,Kabondo Sub-county,001-043-006-sub,sub-county,001-043,true
ke/migori,Migori,001-025,county,001,true
ke/migori-town,Migori Town,001-025-001,constituency,001-025,true
ke/migori/nyatike,Nyatike,001-025-002,constituency,001-025,true
ke/migori-uriri,Uriri,001-025-003,constituency,001-025,true
ke/migori-kuria-west,Kuria West,001-025-004,constituency,001-025,true
ke/migori-kuria-east,Kuria East,001-025-005,constituency,001-025,true
ke/migori/rapogi,Rapogi,001-025-006,constituency,001-025,true
ke/migori-awendo,Awendo,001-025-007,constituency,001-025,true
ke/migori-town,Migori Town Sub-county,001-025-001-sub,sub-county,001-025,true
ke/migori-nyatike,Nyatike Sub-county,001-025-002-sub,sub-county,001-025,true
ke/migori-uriri,Uriri Sub-county,001-025-003-sub,sub-county,001-025,true
ke/migori-kuria-west,Kuria West Sub-county,001-025-004-sub,sub-county,001-025,true
ke/migori-kuria-east,Kuria East Sub-county,001-025-005-sub,sub-county,001-025,true
ke/migori-awendo,Awendo Sub-county,001-025-006-sub,sub-county,001-025,true
ke/migori-rapogi,Rapogi Sub-county,001-025-007-sub,sub-county,001-025,true
ke/kisii,Kisii,001-018,county,001,true
ke/kisii-central,Kisii Central,001-018-001,constituency,001-018,true
ke/kisii-south,Kisii South,001-018-002,constituency,001-018,true
ke/kisii-north,Kisii North,001-018-003,constituency,001-018,true
ke/kisii/bobasi,Bobasi,001-018-004,constituency,001-018,true
ke/kisii/bonchari,Bonchari,001-018-005,constituency,001-018,true
ke/kisii-kitutu-chache,Kitutu Chache,001-018-006,constituency,001-018,true
ke/kisii-kitutu-masaba,Kitutu Masaba,001-018-007,constituency,001-018,true
ke/kisii-sameta,Sameta,001-018-008,constituency,001-018,true
ke/kisii-central,Kisii Central Sub-county,001-018-001-sub,sub-county,001-018,true
ke/kisii-south,Kisii South Sub-county,001-018-002-sub,sub-county,001-018,true
ke/kisii-north,Kisii North Sub-county,001-018-003-sub,sub-county,001-018,true
ke/kisii-bobasi,Bobasi Sub-county,001-018-004-sub,sub-county,001-018,true
ke/kisii-bonchari,Bonchari Sub-county,001-018-005-sub,sub-county,001-018,true
ke/kisii-kitutu-chache,Kitutu Chache Sub-county,001-018-006-sub,sub-county,001-018,true
ke/kisii-kitutu-masaba,Kitutu Masaba Sub-county,001-018-007-sub,sub-county,001-018,true
ke/kisii-sameta,Sameta Sub-county,001-018-008-sub,sub-county,001-018,true
ke/nyamira,Nyamira,001-029,county,001,true
ke/nyamira-kitutu-masaba,Kitutu Masaba,001-029-001,constituency,001-029,true
ke/nyamira-west,North Mugirango,001-029-002,constituency,001-029,true
ke/nyamira-south,South Mugirango,001-029-003,constituency,001-029,true
ke/nyamira-borabu,Borabu,001-029-004,constituency,001-029,true
ke/nyamira-north,North Mugirango Sub-county,001-029-001-sub,sub-county,001-029,true
ke/nyamira-south,South Mugirango Sub-county,001-029-002-sub,sub-county,001-029,true
ke/nyamira-borabu,Borabu Sub-county,001-029-003-sub,sub-county,001-029,true
ke/nyamira-kitutu-masaba,Kitutu Masaba Sub-county,001-029-004-sub,sub-county,001-029,true
ke/nandi,Nandi,001-030,county,001,true
ke/nandi-aldai,Aldai,001-030-001,constituency,001-030,true
ke/nandi-chesumei,Chesumei,001-030-002,constituency,001-030,true
ke/nandi-emgwen,Emgwen,001-030-003,constituency,001-030,true
ke/nandi-mosop,Mosop,001-030-004,constituency,001-030,true
ke/nandi-tindiret,Tindiret,001-030-005,constituency,001-030,true
ke/nandi-nandi-hills,Nandi Hills,001-030-006,constituency,001-030,true
ke/nandi-aldai,Aldai Sub-county,001-030-001-sub,sub-county,001-030,true
ke/nandi-chesumei,Chesumei Sub-county,001-030-002-sub,sub-county,001-030,true
ke/nandi-emgwen,Emgwen Sub-county,001-030-003-sub,sub-county,001-030,true
ke/nandi-mosop,Mosop Sub-county,001-030-004-sub,sub-county,001-030,true
ke/nandi-tindiret,Tindiret Sub-county,001-030-005-sub,sub-county,001-030,true
ke/nandi-nandi-hills,Nandi Hills Sub-county,001-030-006-sub,sub-county,001-030,true
ke/kericho,Kericho,001-021,county,001,true
ke/kericho-town,Kericho Town,001-021-001,constituency,001-021,true
ke/kericho-ainamoi,Ainamoi,001-021-002,constituency,001-021,true
ke/kericho/belgut,Belgut,001-021-003,constituency,001-021,true
ke/kericho/kipkelion-east,Kipkelion East,001-021-004,constituency,001-021,true
ke/kericho/kipkelion-west,Kipkelion West,001-021-005,constituency,001-021,true
ke/kericho-bureti,Bureti,001-021-006,constituency,001-021,true
ke/kericho-town,Kericho Town Sub-county,001-021-001-sub,sub-county,001-021,true
ke/kericho-ainamoi,Ainamoi Sub-county,001-021-002-sub,sub-county,001-021,true
ke/kericho/belgut,Belgut Sub-county,001-021-003-sub,sub-county,001-021,true
ke/kericho-kipkelion-east,Kipkelion East Sub-county,001-021-004-sub,sub-county,001-021,true
ke/kericho-kipkelion-west,Kipkelion West Sub-county,001-021-005-sub,sub-county,001-021,true
ke/kericho-bureti,Bureti Sub-county,001-021-006-sub,sub-county,001-021,true
ke/bomet,Bomet,001-005,county,001,true
ke/bomet-central,Bomet Central,001-005-001,constituency,001-005,true
ke/bomet-south,Bomet South,001-005-002,constituency,001-005,true
ke/bomet-chepalungu,Chepalungu,001-005-003,constituency,001-005,true
ke/bomet-sotik,Sotik,001-005-004,constituency,001-005,true
ke/bomet-konoin,Konoin,001-005-005,constituency,001-005,true
ke/bomet-central,Bomet Central Sub-county,001-005-001-sub,sub-county,001-005,true
ke/bomet-south,Bomet South Sub-county,001-005-002-sub,sub-county,001-005,true
ke/bomet-chepalungu,Chepalungu Sub-county,001-005-003-sub,sub-county,001-005,true
ke/bomet-sotik,Sotik Sub-county,001-005-004-sub,sub-county,001-005,true
ke/bomet-konoin,Konoin Sub-county,001-005-005-sub,sub-county,001-005,true
ke/narok,Narok,001-027,county,001,true
ke/narok-north,Narok North,001-027-001,constituency,001-027,true
ke/narok-south,Narok South,001-027-002,constituency,001-027,true
ke/narok-east,Narok East,001-027-003,constituency,001-027,true
ke/narok-west,Narok West,001-027-004,constituency,001-027,true
ke/narok-kilgoris,Kilgoris,001-027-005,constituency,001-027,true
ke/narok-north,Narok North Sub-county,001-027-001-sub,sub-county,001-027,true
ke/narok-south,Narok South Sub-county,001-027-002-sub,sub-county,001-027,true
ke/narok-east,Narok East Sub-county,001-027-003-sub,sub-county,001-027,true
ke/narok-west,Narok West Sub-county,001-027-004-sub,sub-county,001-027,true
ke/narok-kilgoris,Kilgoris Sub-county,001-027-005-sub,sub-county,001-027,true
